time_ms	cdf_baseline	cdf_jesspro
1441.000000	0.949841	0.951821
1443.000000	0.949879	0.951821
1444.000000	0.949916	0.951858
1446.000000	0.949953	0.951858
1447.000000	0.949991	0.951858
1448.000000	0.949991	0.951895
1449.000000	0.950065	0.951933
1450.000000	0.950065	0.951970
1453.000000	0.950065	0.952045
1454.000000	0.950065	0.952082
1455.000000	0.950065	0.952120
1456.000000	0.950103	0.952232
1460.000000	0.950103	0.952306
1461.000000	0.950140	0.952344
1462.000000	0.950177	0.952381
1463.000000	0.950177	0.952418
1464.000000	0.950177	0.952456
1465.000000	0.950215	0.952456
1466.000000	0.950252	0.952456
1467.000000	0.950289	0.952493
1468.000000	0.950327	0.952530
1469.000000	0.950364	0.952530
1471.000000	0.950364	0.952568
1473.000000	0.950364	0.952642
1474.000000	0.950364	0.952680
1475.000000	0.950364	0.952717
1476.000000	0.950401	0.952792
1477.000000	0.950439	0.952866
1478.000000	0.950476	0.952866
1481.000000	0.950476	0.952904
1483.000000	0.950514	0.952941
1484.000000	0.950551	0.952979
1485.000000	0.950551	0.953053
1486.000000	0.950551	0.953091
1488.000000	0.950551	0.953128
1489.000000	0.950551	0.953203
1490.000000	0.950626	0.953203
1492.000000	0.950663	0.953203
1493.000000	0.950663	0.953277
1494.000000	0.950700	0.953315
1495.000000	0.950738	0.953315
1498.000000	0.950775	0.953315
1499.000000	0.950850	0.953315
1500.000000	0.950887	0.953389
1501.000000	0.950924	0.953427
1502.000000	0.950924	0.953501
1504.000000	0.950924	0.953539
1505.000000	0.951036	0.953576
1506.000000	0.951074	0.953613
1507.000000	0.951111	0.953651
1508.000000	0.951148	0.953651
1509.000000	0.951148	0.953688
1511.000000	0.951148	0.953763
1513.000000	0.951148	0.953800
1515.000000	0.951186	0.953800
1517.000000	0.951186	0.953838
1518.000000	0.951223	0.953838
1519.000000	0.951223	0.953875
1521.000000	0.951223	0.953950
1522.000000	0.951261	0.953987
1523.000000	0.951298	0.954024
1524.000000	0.951298	0.954099
1525.000000	0.951298	0.954136
1526.000000	0.951335	0.954174
1527.000000	0.951410	0.954174
1529.000000	0.951410	0.954211
1530.000000	0.951447	0.954211
1531.000000	0.951447	0.954248
1532.000000	0.951447	0.954286
1533.000000	0.951485	0.954323
1534.000000	0.951485	0.954360
1538.000000	0.951522	0.954360
1539.000000	0.951559	0.954360
1541.000000	0.951597	0.954435
1542.000000	0.951597	0.954472
1545.000000	0.951634	0.954510
1546.000000	0.951634	0.954547
1548.000000	0.951671	0.954547
1549.000000	0.951783	0.954547
1550.000000	0.951821	0.954547
1551.000000	0.951858	0.954585
1552.000000	0.951895	0.954585
1553.000000	0.951933	0.954659
1554.000000	0.951970	0.954697
1557.000000	0.952007	0.954734
1558.000000	0.952045	0.954734
1559.000000	0.952082	0.954734
1560.000000	0.952120	0.954734
1562.000000	0.952157	0.954734
1563.000000	0.952194	0.954734
1564.000000	0.952232	0.954734
1566.000000	0.952269	0.954734
1567.000000	0.952306	0.954734
1568.000000	0.952306	0.954809
1569.000000	0.952306	0.954883
1571.000000	0.952344	0.954883
1572.000000	0.952418	0.954883
1574.000000	0.952456	0.954958
1575.000000	0.952456	0.954995
1576.000000	0.952493	0.955107
1577.000000	0.952493	0.955145
1578.000000	0.952530	0.955182
1579.000000	0.952530	0.955219
1580.000000	0.952568	0.955257
1581.000000	0.952605	0.955294
1582.000000	0.952605	0.955331
1587.000000	0.952642	0.955331
1589.000000	0.952642	0.955369
1590.000000	0.952642	0.955406
1591.000000	0.952680	0.955406
1592.000000	0.952754	0.955406
1593.000000	0.952866	0.955444
1596.000000	0.952941	0.955444
1597.000000	0.952979	0.955518
1598.000000	0.953016	0.955518
1599.000000	0.953016	0.955556
1601.000000	0.953091	0.955556
1602.000000	0.953091	0.955593
1603.000000	0.953128	0.955593
1604.000000	0.953165	0.955593
1605.000000	0.953203	0.955630
1608.000000	0.953240	0.955630
1609.000000	0.953315	0.955668
1611.000000	0.953352	0.955705
1612.000000	0.953389	0.955705
1616.000000	0.953389	0.955742
1617.000000	0.953389	0.955780
1618.000000	0.953427	0.955817
1619.000000	0.953576	0.955817
1620.000000	0.953576	0.955854
1625.000000	0.953576	0.955892
1626.000000	0.953613	0.955892
1627.000000	0.953651	0.955892
1629.000000	0.953688	0.955892
1632.000000	0.953763	0.955892
1633.000000	0.953800	0.955892
1634.000000	0.953838	0.955892
1637.000000	0.953838	0.955929
1641.000000	0.953838	0.955966
1646.000000	0.953838	0.956004
1648.000000	0.953838	0.956078
1649.000000	0.953875	0.956078
1650.000000	0.953875	0.956116
1653.000000	0.953875	0.956153
1656.000000	0.953912	0.956228
1657.000000	0.953987	0.956265
1659.000000	0.954024	0.956265
1660.000000	0.954062	0.956303
1661.000000	0.954099	0.956303
1662.000000	0.954099	0.956340
1663.000000	0.954099	0.956377
1667.000000	0.954136	0.956377
1670.000000	0.954211	0.956415
1673.000000	0.954248	0.956415
1677.000000	0.954248	0.956489
1678.000000	0.954323	0.956489
1681.000000	0.954323	0.956527
1682.000000	0.954360	0.956527
1683.000000	0.954398	0.956527
1684.000000	0.954435	0.956527
1685.000000	0.954435	0.956564
1687.000000	0.954510	0.956564
1692.000000	0.954510	0.956601
1693.000000	0.954510	0.956676
1695.000000	0.954547	0.956676
1696.000000	0.954585	0.956751
1697.000000	0.954622	0.956751
1698.000000	0.954659	0.956751
1701.000000	0.954659	0.956788
1705.000000	0.954697	0.956788
1706.000000	0.954734	0.956788
1710.000000	0.954771	0.956788
1711.000000	0.954809	0.956788
1712.000000	0.954809	0.956825
1713.000000	0.954846	0.956825
1715.000000	0.954846	0.956975
1717.000000	0.954846	0.957049
1719.000000	0.954846	0.957087
1720.000000	0.954883	0.957087
1721.000000	0.954921	0.957087
1722.000000	0.955033	0.957087
1726.000000	0.955070	0.957087
1727.000000	0.955107	0.957124
1728.000000	0.955107	0.957236
1730.000000	0.955145	0.957274
1732.000000	0.955182	0.957311
1735.000000	0.955182	0.957386
1737.000000	0.955219	0.957423
1738.000000	0.955257	0.957460
1739.000000	0.955257	0.957535
1740.000000	0.955257	0.957572
1741.000000	0.955331	0.957572
1743.000000	0.955369	0.957572
1744.000000	0.955406	0.957572
1746.000000	0.955406	0.957610
1750.000000	0.955406	0.957647
1751.000000	0.955444	0.957647
1754.000000	0.955481	0.957647
1755.000000	0.955518	0.957647
1756.000000	0.955556	0.957684
1757.000000	0.955630	0.957722
1758.000000	0.955668	0.957759
1760.000000	0.955668	0.957796
1761.000000	0.955668	0.957834
1763.000000	0.955668	0.957946
1766.000000	0.955668	0.957983
1768.000000	0.955668	0.958021
1769.000000	0.955742	0.958021
1770.000000	0.955780	0.958021
1774.000000	0.955780	0.958058
1775.000000	0.955817	0.958095
1776.000000	0.955817	0.958133
1778.000000	0.955854	0.958133
1781.000000	0.955854	0.958170
1783.000000	0.955854	0.958207
1786.000000	0.955854	0.958245
1787.000000	0.955892	0.958245
1790.000000	0.955892	0.958282
1791.000000	0.955929	0.958282
1792.000000	0.956004	0.958282
1795.000000	0.956041	0.958282
1796.000000	0.956078	0.958282
1797.000000	0.956078	0.958319
1798.000000	0.956116	0.958319
1801.000000	0.956153	0.958319
1803.000000	0.956190	0.958319
1805.000000	0.956190	0.958357
1808.000000	0.956228	0.958357
1811.000000	0.956228	0.958394
1812.000000	0.956228	0.958431
1815.000000	0.956228	0.958469
1816.000000	0.956228	0.958506
1817.000000	0.956265	0.958543
1818.000000	0.956303	0.958543
1819.000000	0.956303	0.958581
1821.000000	0.956377	0.958618
1822.000000	0.956377	0.958693
1823.000000	0.956415	0.958730
1824.000000	0.956415	0.958768
1825.000000	0.956452	0.958805
1826.000000	0.956489	0.958805
1828.000000	0.956564	0.958805
1830.000000	0.956564	0.958842
1831.000000	0.956601	0.958842
1833.000000	0.956639	0.958842
1836.000000	0.956676	0.958880
1837.000000	0.956751	0.958880
1838.000000	0.956788	0.958880
1839.000000	0.956788	0.958917
1840.000000	0.956788	0.958954
1847.000000	0.956863	0.958954
1848.000000	0.956900	0.958992
1853.000000	0.956937	0.958992
1854.000000	0.956975	0.958992
1855.000000	0.957012	0.958992
1856.000000	0.957162	0.958992
1857.000000	0.957162	0.959029
1860.000000	0.957162	0.959141
1861.000000	0.957199	0.959178
1876.000000	0.957199	0.959216
1877.000000	0.957236	0.959290
1879.000000	0.957274	0.959290
1880.000000	0.957348	0.959290
1882.000000	0.957348	0.959328
1884.000000	0.957348	0.959365
1885.000000	0.957348	0.959402
1889.000000	0.957348	0.959440
1891.000000	0.957348	0.959477
1892.000000	0.957348	0.959514
1895.000000	0.957423	0.959514
1896.000000	0.957460	0.959552
1897.000000	0.957572	0.959589
1900.000000	0.957610	0.959627
1902.000000	0.957610	0.959664
1904.000000	0.957684	0.959664
